scenario,day,class,emissions_kgCO2,co2_per_unit,litres,trips
A,58,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,59,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
A,60,aircraft,23748.9,2.63,9030.000000000002,0.30100000000000005
B,1,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,2,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,3,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,4,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,5,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,6,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,7,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,8,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,9,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,10,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,11,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,12,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,13,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,14,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,15,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,16,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,17,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,18,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,19,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,20,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,21,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,22,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,23,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,24,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,25,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,26,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,27,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,28,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,29,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,30,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,31,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,32,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,33,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,34,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
